"form","subscale","item_id"
"DASS42","D","Q03"
"DASS42","D","Q05"
"DASS42","D","Q10"
"DASS42","D","Q13"
"DASS42","D","Q16"
"DASS42","D","Q17"
"DASS42","D","Q21"
"DASS42","D","Q24"
"DASS42","D","Q26"
"DASS42","D","Q31"
"DASS42","D","Q34"
"DASS42","D","Q37"
"DASS42","D","Q38"
"DASS42","D","Q42"
"DASS42","A","Q02"
"DASS42","A","Q04"
"DASS42","A","Q07"
"DASS42","A","Q09"
"DASS42","A","Q15"
"DASS42","A","Q19"
"DASS42","A","Q20"
"DASS42","A","Q23"
"DASS42","A","Q25"
"DASS42","A","Q28"
"DASS42","A","Q30"
"DASS42","A","Q36"
"DASS42","A","Q40"
"DASS42","A","Q41"
"DASS42","S","Q01"
"DASS42","S","Q06"
"DASS42","S","Q08"
"DASS42","S","Q11"
"DASS42","S","Q12"
"DASS42","S","Q14"
"DASS42","S","Q18"
"DASS42","S","Q22"
"DASS42","S","Q27"
"DASS42","S","Q29"
"DASS42","S","Q32"
"DASS42","S","Q33"
"DASS42","S","Q35"
"DASS42","S","Q39"
"DASS21","D","Q03"
"DASS21","D","Q10"
"DASS21","D","Q17"
"DASS21","D","Q26"
"DASS21","D","Q31"
"DASS21","D","Q38"
"DASS21","D","Q42"
"DASS21","A","Q02"
"DASS21","A","Q04"
"DASS21","A","Q20"
"DASS21","A","Q25"
"DASS21","A","Q28"
"DASS21","A","Q40"
"DASS21","A","Q41"
"DASS21","S","Q06"
"DASS21","S","Q08"
"DASS21","S","Q12"
"DASS21","S","Q18"
"DASS21","S","Q22"
"DASS21","S","Q35"
"DASS21","S","Q39"
"ISI21","D","Q42"
"ISI21","D","Q05"
"ISI21","D","Q37"
"ISI21","D","Q26"
"ISI21","D","Q13"
"ISI21","D","Q24"
"ISI21","D","Q17"
"ISI21","A","Q02"
"ISI21","A","Q23"
"ISI21","A","Q09"
"ISI21","A","Q30"
"ISI21","A","Q25"
"ISI21","A","Q40"
"ISI21","A","Q19"
"ISI21","S","Q35"
"ISI21","S","Q12"
"ISI21","S","Q33"
"ISI21","S","Q06"
"ISI21","S","Q22"
"ISI21","S","Q14"
"ISI21","S","Q18"
